id,purpose,building_nature,building_type,division,city,zone,locality,address,price,area,num_bed_rooms,num_bath_rooms,relaxation_amenity_count,security_amenity_count,maintenance_or_cleaning_amenity_count,social_amenity_count,expendable_amenity_count,service_staff_amenity_count,unclassify_amenity_count,property_description,property_overview
bproperty-17245,Rent,Residential,Apartment,Dhaka,Dhaka,Gulshan,Gulshan,Gulshan 2,100000.0,2000.0,3,3,0,2,2,0,4,0,6,See This Flat For Rent In Gulshan Near American Standard International School,"This is the right place for you if you are looking for a flat for rent in Gulshan area. We have the news of this lovely home that comes with an amazing floor plan and roomy living space. We know that choosing a new home can be an overwhelming experience as it involves a lot of decision making such as the availability of daily necessity like water, gas and electricity. All the washrooms are attached with quality and durable fixtures. This apartment will keep you relaxed as all these services are readily available. A private parking space comes with the offered flat will be there for your vehicle accommodation.  Service charge BDT 9000.3 months advance 1 parking Contact us at your earliest to know more about this apartment."
bproperty-17246,Rent,Residential,Apartment,Chattogram,Chattogram,Chattogram City,Khulshi,Nasirabad Properties Residential Area,50000.0,2100.0,3,3,0,1,1,0,2,0,4,An Amazing Flat For 2100 Sq. Ft Is Ready For Rent In Nasirabad Properties Residential Area,"Every room in an apartment is important but as your bedroom is the place where you'll be spending most of your time relaxing, it's best to keep it in a way that will be relaxing. A chartreuse lamp corresponding with gingham upholstery and bedding can impressively enliven the master bedroom. When you buy a bed or use the old one, there's one thing that you must make sure of. You need to ensure that it's the epitome of warmth. A table lamp on the side can also give an unexpected edge. Blankets can actually do wonders. The color of your blanket and the texture can add greatly to the comfort or take a portion away from it as well. You can throw in some wall art to utilize the space on the walls and make something to give yourself a sight for sore eyes. The priority here is to create something that will serve you with the ultimate comfort. This is a highly popular area for the posh. There's a certain flair you'll feel, as you see it's real. Until you experience the beauty of night here, you haven't felt serenity. Being one of the most sophisticated areas in Chittagong, Khulshi is known to be a place for the aristocrats. And if you're residence is located here, then you can rest assured that your reputation will go sky-high. Property Features:South FacedCovered Area: 9Number of floors:9TerraceDedicated Security GuardElectricity BackupFire ExtinguisherIntercomBalconiesNearby Amenities: South Khulshi Mosque, Maizbhandari Khanka Sharif, Khulshi Police StationWe suggest to make up your mind and steal this deal offered at the best value."
bproperty-17247,Rent,Residential,Apartment,Dhaka,Dhaka,Mohammadpur,Lalmatia,Block E,35000.0,1350.0,3,2,0,1,1,0,3,0,3,"This Beautiful Flat Of 1350 Sq Ft Is Greatly Affordable And Will Come Within Your Budget In Zakir Hussain Road, Lalmatia","Are you searching for a spacious and well-equipped apartment in Lalmatia, with all the modern amenities you need for a comfortable life? Look no further! This stunning 1350  Square Feet apartment boasts 3 beds, 3 baths, beautiful  balconies, and a well-equipped kitchen. This is a great place to reside in, having an area with a good number of shopping places and schools. The apartment is cozy and all utility supplies readily accessible. Serene and fortified living has become a must when it comes to securing a permanent address in a busy city like Lalmatia. So we suggest you see this flat by yourself. We hope it will make sure you are gratified with the home that has always been pictured in your mind. Let us help you to make up your mind and bring you here to experience what you have been imagining all these years for your future home."
bproperty-17248,Rent,Residential,Apartment,Dhaka,Dhaka,Shyamoli,Shyamoli,\N,20000.0,1250.0,3,3,0,1,1,0,4,0,4,Wonderful Flat Of 1250 Sq Ft Is Available For Rent In Shyamoli,"If you are looking for a home for your family in Shyamoli then this 1250  Square Feet apartment is the perfect fit for you. With 3 beds and 2 baths, this home is perfect for a family. When you first enter the apartment, you see a traditional setup and lots of opportunity to play with the interior. With multiple windows all around the home, you wouldn’t have any issue with proper sunlight and air in the house. The modern kitchen and a tiled counter to make your kitchen chores easy. With amenities like security backup and a dedicated maintenance staff, your family can lead a healthy and safe life here. You will also have 24/7 electricity backup and access to the terrace. The area Shyamoli is perfect for a family to live in as daily essentials like markets, schools, mosques and restaurants are all available in the area. So when living in Shyamoli, you wouldn’t need to go anywhere else. Service Chagre 3000 TakaTo make this affordable apartment your home, contact us today!"
bproperty-17249,Rent,Residential,Apartment,Dhaka,Dhaka,Dhanmondi,Dhanmondi,\N,24000.0,1250.0,3,3,0,1,1,0,5,0,3,A Nice And Medium Sized 1250 Sq Ft Apartment Is Available For Rent At North Circular Road,"The vacant flat surely is a reasonable deal compared with other flats in the area. The flat is completed with large windows and balconies to make sure there is proper ventilation throughout the flat. The washrooms are installed with fittings with a high durability guarantee. Service charge with Water bill BDT 5000. If you want to steal this great deal, just call us and we will help you."
bproperty-17250,Rent,Residential,Apartment,Dhaka,Dhaka,Shyamoli,Shyamoli,\N,20000.0,1250.0,3,3,0,1,1,0,4,0,4,A Nicely Constructed Apartment Of 1250 Sq Ft Is Available Right Now For Rent In Shyamoli,"This apartment comprises 1250  Square Feet area. With 3 beds and 2 baths, this wonderful apartment is ready for you to call your home. As the drawing and dining space is quite open, there will be a lot of light and air. The kitchen is beautifully equipped with well-fitted tiles, and the bathrooms are complete with durable fittings. The large windows and great floor plan of this flat assures you get a comfortable life. There are also other facilities like electricity, water, gas and security. You do not need to worry about utilities while you live in this flat with your family. Service Charge 3000 BDTSo we welcome you to reach us through a call and let us serve you to own this beautiful flat right away."
bproperty-17251,Rent,Residential,Apartment,Dhaka,Dhaka,Khilkhet,Nikunja,Nikunja 1,100000.0,1650.0,3,4,0,1,1,0,4,0,5,All Set For Rental Purpose This 1650 Sq Ft Full Furnished Flat In The Location Of Nikunja 1,"This exquisite 3-bedroom, 4-bathroom residential flat is now available for rent. The apartment spans across 1,650 sqft and features 4 wide balconies, elevators, parking space, open kitchen, attendants bathroom, CCTV security, electricity backup, beautiful interior with great fittings, and wide windows that offer a stunning view of the surrounding areas. The flat is located in the peaceful and serene neighborhood of Nikunja, which is known for its vibrant community and great amenities. For families with children, Nikunja offers a wide range of educational institutions, including prestigious schools and colleges. Some of the notable ones include the American International School Dhaka, Scholastica School, and the Oxford International School. These schools have a reputation for providing high-quality education that focuses on academic excellence and character development. When it comes to healthcare, Nikunja has some of the best hospitals and medical centers in the area. These include Apollo Hospitals Dhaka, United Hospital. These facilities offer world-class medical services and are staffed with highly trained doctors and nurses who are dedicated to providing the best possible care to their patients. Nikunja has excellent connectivity to other parts of the city, with well-maintained roads and highways that make commuting a breeze. The flat is located just a few minutes away from the Hazrat Shahjalal International Airport, making it an ideal choice for frequent travelers. Overall, this residential flat offers a great opportunity to live in a peaceful and convenient location that is perfect for families, working professionals, and students alike."
bproperty-17252,Rent,Residential,Apartment,Dhaka,Dhaka,Dhanmondi,Dhanmondi,\N,250000.0,2235.0,3,4,0,1,1,0,5,0,3,Be the tenant of a 2235 SQ FT residential flat waiting to get rented at Dhanmondi,"Great news for the flat searchers! If you are looking for a new beautiful home in Dhanmondi, look no further! We have a great news, a lovely and affordable home located in Dhanmondi is all ready for you to shift. The flat comprises a spacious area in this specific area featuring enough space for relaxed living. Liked the flat? Just give us a call and let us assist you to make it home."
bproperty-17253,Rent,Residential,Apartment,Dhaka,Dhaka,Gulshan,Baridhara,Block K,280000.0,4200.0,4,4,0,1,0,0,2,0,3,4200 Sq Ft A Lucrative Apartment Is Waiting To Be Rented In Baridhara,Introducing you with one of the best properties vacant for your next living. The correspondent apartment completed with a very strong and wonderful floor plan. The flat for rent provides the exact comfortable lifestyle that you have been looking for. Covers area as a whole the flat also has facilities that come along with this edifice. One allotted parking space would come along with this beautiful flat.  Contact us at your earliest to know more about this apartment.
bproperty-17254,Rent,Residential,Apartment,Dhaka,Dhaka,Dhaka Cantonment,Cantonment,\N,26000.0,1413.0,3,3,0,1,3,0,4,0,4,"View This 1413 Sq Ft Flat Up For Rent In Cantonment, Matikata Road","It is the exact place if you are looking for one of the most picked and affordable properties in a congenial zone like Cantonment. We got a flat for rent in this Cantonment area, which is very affordable and lovely. The area offers plenty of residential apartments of different sizes. But if you are on a budget, this tidy 1413  Square Feet apartment with 3 beds, 3 baths and nice balconies can be perfect for a small family. A beautiful kitchen with durable fittings is there to make your cooking time comforting. The Cantonment area is already well known for its reputed schools, colleges, shopping malls and hospitals including and etc. Call us right away to know more about this apartment."
bproperty-17255,Rent,Residential,Apartment,Dhaka,Dhaka,Mohakhali,Mohakhali Dohs,\N,120000.0,2700.0,4,5,0,2,3,0,3,0,3,Excellent Flat Of 2700 Sq Ft Is All Set For Rent In The Fine Location Of Mohakhali DOHS,"Those who are thinking about finding a new apartment and feel their budget will be a setback should surely check this amazing 2700  Square Feet apartment. In this apartment, you get 4 beds and 5 baths with a sizable drawing and dining area. This beautiful apartment is greatly affordable and will come within your budget. This lovely apartment is vacant right now. Please come and visit this apartment to make it your new home. We are waiting to assist you and make this flat your own. Within this convenient space, you will find a home that will be both affordable and convenient. Overall, considering the nearby facilities that you are getting and the residential space, this place is fit for a family to reside in peace. Service Charge 15000 BDTIf you like the flat, call us right away to know more."
bproperty-17256,Rent,Residential,Apartment,Dhaka,Dhaka,Mohammadpur,Mohammadpur,Pc Culture Housing,20000.0,1050.0,3,2,0,2,1,2,3,0,4,Beautiful Flat Of 1050 Sq Ft Is Vacant Right Now For Rental Purpose In Mohammadpur,"It is the exact place if you are looking for one of the most picked and affordable properties in a congenial zone like Mohammadpur. We got a flat for rent in this Mohammadpur area, which is very affordable and lovely. The area offers plenty of residential apartments of different sizes. But if you are on a budget, this tidy 1050  Square Feet apartment with 3 beds, 2 baths and nice balconies can be perfect for a small family. A beautiful kitchen with durable fittings is there to make your cooking time comforting. The Mohammadpur area is already well known for its reputed schools, colleges, shopping malls and hospitals including and etc. Service Charge 4500 TakaAdvance Payment 1 MonthCall us right away to know more about this apartment."
bproperty-17258,Rent,Residential,Apartment,Dhaka,Dhaka,Old Dhaka,Lalbagh,Azimpur,18000.0,950.0,3,2,0,1,1,0,1,0,3,950 SQ FT flat is now to rent in Lalbagh near to Lalbagh Fort,"Congenial environment, appropriate commuting system and equitable prices of properties make the area Lalbagh a wonderful place to settle. The facing of this flat will keep your home warm for the whole day. Come and grab this affordable flat to settle in this wonderful locality. If you are looking for a good place to live in, then you can visit this wonderful 950 SQ FT flat. In this flat, there are 3 bedrooms, 2 bathrooms, drawing, balcony, dining and kitchen. Other utilities like water, gas, electricity are also available. Contact us at your earliest to know more about this apartment."
bproperty-17259,Rent,Residential,Apartment,Dhaka,Dhaka,Bashundhara R/A,Bashundhara R-A,Block L,23000.0,1850.0,3,4,0,2,3,0,3,0,4,A well-defined residential apartment of 1850 SQ FT is available for rent in Bashundhara R-A,"This flat consists of facilities you can think of for a proper living standards. The amazing floor plan of this flat ensures the buyer decision even more rightful for what they are pursuing for. The washroom comes with all the up-to-date fixtures. For your delish cooking essentials, you are getting a convenient kitchen having a nice kitchen counter. You would also have refreshing balconies to spend some good family times in your morning and evening hours with your family. There are plenty of places nearby so going for recreational activities outside is an easy option to pick as well. Make yourself a happy buyer by calling us about this beautiful apartment right away!"
bproperty-17260,Rent,Residential,Apartment,Dhaka,Dhaka,Mohammadpur,Mohammadpur,Mohammadi Housing Ltd.,24000.0,1300.0,3,2,0,0,3,1,0,0,4,"A Contemporary Cozy Flat Of 1300 Sq Ft Is Up For Rent Is Situated In Mohammadi Housing Ltd, Mohammadpur","Just after entering this vacant flat you will find with a great floor plan the correspondent apartment offers the best security for the residence. The flat presents washrooms which are built-in with the most elite lavatory fittings. All the bedrooms are enough spacious to assure your privacy while living in this home. You do not have to worry about utilities as the utilities will be available in this flat. The locality is also amicable with a good amount of school, college and groceries. The balconies which revitalizing anyone’s mind with a salient view of the locality. The transportation systems are well facilitated as the regular commuting like Rickshaw, CNG and bus stops are located in the area. Hurry up if your requirements match with what we are offering."
bproperty-17261,Rent,Residential,Apartment,Dhaka,Dhaka,Mohammadpur,Mohammadpur,\N,15000.0,750.0,2,2,0,1,2,0,2,0,4,"2 Bedrooms Apartment Is Available To Rent In Salimullah Road, Mohammadpur",It is the exact place if you are looking for one of the nicest and affordable properties in a congenial zone like Mohammadpur. We got a flat in Mohammadpur. The scenic building includes a nice looking entrance to take to this flat you can see in our enlisted photos. The flat has got amazing rooms which are enough spacious to assure your comfortable living. There is one active and well-maintained elevator and staircase to lead you to this great dwelling. The apartment has got balconies which would refill the happy time with your family after a hectic day. Service Charge 3180 TakaWe welcome you to reach us through a call and let us serve you to own this beautiful flat on your own.
bproperty-17262,Rent,Residential,Apartment,Dhaka,Dhaka,Mirpur,Mirpur,"Block A, Section 11",17000.0,1150.0,3,3,0,0,1,0,0,0,4,Checkout This 1150 Square Feet Apartment For Rent In Mirpur-11,"If you are waiting to be one of the gainful property gainers, we got a place to offer you in, known as one of the welcoming suburban zones of Mirpur. In case of any issues that might arise which need attention, communication systems are there to ensure effective addressing of such issues. This exquisite building covers a very homey entrance to take you to this apartment that you can see in our enlisted images. The apartment has got large windows and balconies to replenish some happy time with your family. Service charge of BDT 4000. Don’t miss this affordable offer and we are just a call away to close the deal for you!"
bproperty-17263,Rent,Residential,Apartment,Dhaka,Dhaka,Khilgaon,Banasree,Block G,20000.0,1100.0,3,3,0,1,1,0,2,0,3,"Vacant Now! This 1100 Sq Ft Flat Is For Rent With Lovely Facilities At Banasree, Block G","This apartment is comprising over a very spacious area. The kitchen is beautifully equipped with well-fitted tiles, cabinet and the bathrooms are complete with durable fittings. The large windows and open floor plan of this flat assures you get a comfortable life. There are also other facilities like electricity, water, gas and security. You do not need to worry about utilities while you live in this flat with your family. 2 months advance So we welcome you to reach us through a call and let us serve you to own this beautiful flat right away."
